-31.31943,23.44506
-32.6244,62.15935
-88.7384,19.96512
-26.53453,-31.36396
27.40448,26.925
65.68382,130.8881
-130.9326,135.673
-159.6421,-85.30298
107.4431,-87.47794
190.0916,26.48999
-28.70947,185.2621
-253.1654,24.31504
-25.22954,-161.8616
3.044948,-70.94823
-97.43823,-98.35274
-140.9375,0.390466
-227.5009,-27.01404
-233.5908,-52.67857
-224.8909,-119.6674
-127.8877,-154.4667
-30.01447,-114.8825
-95.26329,-63.98837
-175.3018,-27.88402
-175.7368,17.79015
-175.3018,73.03416
-89.60838,78.25407
0,96.52374
61.76889,50.41457
120.4928,-2.654467
51.76406,-40.93378
83.08352,-117.0574
54.80901,-127.0622
-101.7881,-17.44421
206.6212,117.4034
